carat	price
0.23	326
0.21	326
0.23	327
0.29	334
0.31	335
0.24	336
0.24	336
0.26	337
0.22	337
0.23	338
0.3	339
0.23	340
0.22	342
0.31	344
0.2	345
0.32	345
0.3	348
0.3	351
0.3	351
0.3	351
0.3	351
0.23	352
0.23	353
0.31	353
0.31	353
0.23	354
0.24	355
0.3	357
0.23	357
0.23	357
0.23	402
0.23	402
0.23	402
0.23	402
0.23	402
0.23	402
0.23	402
0.31	402
0.26	403
0.33	403
0.33	403
0.33	403
0.26	403
0.26	403
0.32	403
0.29	403
0.32	403
0.32	403
0.25	404
0.29	404
0.24	404
0.23	404
0.32	404
0.22	404
0.22	404
0.3	405
0.3	405
0.3	405
0.3	405
0.3	405
0.35	552
0.3	552
0.3	552
0.3	552
0.42	552
0.28	553
0.32	553
0.31	553
0.31	553
0.24	553
0.24	553
0.3	554
0.3	554
0.3	554
0.3	554
0.26	554
0.26	554
0.26	554
0.26	554
0.26	554
0.26	554
0.26	554
0.26	554
0.38	554
0.26	554
0.24	554
0.24	554
0.24	554
0.24	554
0.32	554
